2025-07-22 15:12:39,956 - INFO - Started real-time monitoring for PlamaLV_rank_0
/home/xfu601/Projects/distributed_inference/venv/lib/python3.10/site-packages/torch/cuda/__init__.py:146: UserWarning: 
NVIDIA GeForce RTX 4090 with CUDA capability sm_89 is not compatible with the current PyTorch installation.
The current PyTorch install supports CUDA capabilities sm_37 sm_50 sm_60 sm_70.
If you want to use the NVIDIA GeForce RTX 4090 GPU with PyTorch, please check the instructions at https://pytorch.org/get-started/locally/

  warnings.warn(incompatible_device_warn.format(device_name, capability, " ".join(arch_list), device_name))
[W DispatchStub.cpp:37] Warning: ignoring invalid value for ATEN_CPU_CAPABILITY:  (function compute_cpu_capability)
2025-07-22 15:12:51,777 - INFO - Loaded weights for mobilenetv2 from ./models/mobilenetv2_100epochs_jul15.pth
2025-07-22 15:12:51,778 - INFO - Starting enhanced profiling for model: mobilenetv2
2025-07-22 15:12:51,825 - INFO - Profiled layer features.0.0: 0.09ms, 0.07MB
2025-07-22 15:12:51,829 - INFO - Profiled layer features.0.1: 0.02ms, 0.00MB
2025-07-22 15:12:51,833 - INFO - Profiled layer features.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:51,844 - INFO - Profiled layer features.1.conv.0.0: 0.20ms, 0.07MB
2025-07-22 15:12:51,848 - INFO - Profiled layer features.1.conv.0.1: 0.03ms, 0.00MB
2025-07-22 15:12:51,852 - INFO - Profiled layer features.1.conv.0.2: 0.01ms, 0.00MB
2025-07-22 15:12:51,861 - INFO - Profiled layer features.1.conv.1: 0.13ms, 0.00MB
2025-07-22 15:12:51,865 - INFO - Profiled layer features.1.conv.2: 0.02ms, 0.00MB
2025-07-22 15:12:51,889 - INFO - Profiled layer features.2.conv.0.0: 0.57ms, 1.41MB
2025-07-22 15:12:51,896 - INFO - Profiled layer features.2.conv.0.1: 0.09ms, 0.40MB
2025-07-22 15:12:51,900 - INFO - Profiled layer features.2.conv.0.2: 0.02ms, 0.00MB
2025-07-22 15:12:51,917 - INFO - Profiled layer features.2.conv.1.0: 0.35ms, 0.11MB
2025-07-22 15:12:51,921 - INFO - Profiled layer features.2.conv.1.1: 0.02ms, 0.00MB
2025-07-22 15:12:51,925 - INFO - Profiled layer features.2.conv.1.2: 0.01ms, 0.00MB
2025-07-22 15:12:51,934 - INFO - Profiled layer features.2.conv.2: 0.15ms, 0.00MB
2025-07-22 15:12:51,938 - INFO - Profiled layer features.2.conv.3: 0.01ms, 0.00MB
2025-07-22 15:12:51,949 - INFO - Profiled layer features.3.conv.0.0: 0.21ms, 0.00MB
2025-07-22 15:12:51,954 - INFO - Profiled layer features.3.conv.0.1: 0.03ms, 0.00MB
